"dt";"tme";"host";"uri";"uuid";"response_status"
2024-02-04;2024-02-04 13:39:14;auto.drom.ru;/region19/all/page2/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0&neighborhood=1&unsold=1;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-04 13:39:59;auto.drom.ru;/region19/all/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-04 13:41:28;auto.drom.ru;/region19/all/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-04 13:40:48;auto.drom.ru;/region19/all/?multiselect[]=71_3746_0_0&multiselect[]=39_3663_0_0;"8BC0B5968C0D28EA2AB694A9CDE069397";200
2024-02-04;2024-02-03 22:52:58;auto.drom.ru;/region38/all/?maxyear=2012&minyear=2009&multiselect[]=9_313_0_0&subscription=5244eaf956&subs_view_time=1693661778&reset_params=1;"3A05DA99F8E4D85F168FE383753494A90";301
2024-02-04;2024-02-03 22:52:58;auto.drom.ru;/region38/all/?maxyear=2012&minyear=2009&multiselect[]=9_313_0_0&subscription=5244eaf956&subs_view_time=1693661778;"3A05DA99F8E4D85F168FE383753494A90";301
2024-02-04;2024-02-04 12:58:46;auto.drom.ru;/all/?multiselect[]=2_172_4_0&multiselect[]=2_172_5_3&ph=1;"6227D12921C2F578A45B4469E35183088";200
2024-02-04;2024-02-04 12:58:47;auto.drom.ru;/all/?multiselect[]=2_172_4_0&multiselect[]=2_172_5_3&ph=1;"6227D12921C2F578A45B4469E35183088";200
2024-02-04;2024-02-04 03:24:46;auto.drom.ru;/region42/all/?multiselect[]=9_16_0_0&multiselect[]=9_0_0_0;"36109823EB23BC8CFBECBB15FEB4A0E48";200
2024-02-04;2024-02-04 10:53:12;auto.drom.ru;/all/?maxprice=1250000&multiselect[]=20_2567_2_all&subscription=e6d006d5b5&subs_view_time=1693570602&reset_params=1;F314B23504779758C62067593FCAC6BA9;301
2024-02-04;2024-02-04 10:53:12;auto.drom.ru;/all/?maxprice=1250000&multiselect[]=20_2567_2_all&subscription=e6d006d5b5&subs_view_time=1693570602;F314B23504779758C62067593FCAC6BA9;301
2024-02-04;2024-02-04 07:07:15;auto.drom.ru;/region25/all/?multiselect[]=9_4_11_all&ph=1&unsold=1&subscription=8b09d0a7eb&subs_view_time=1693467928&reset_params=1;"80A65D837BF9C57F55BAE733FF171E3F2";301
2024-02-04;2024-02-04 07:07:15;auto.drom.ru;/region25/all/?multiselect[]=9_4_11_all&ph=1&unsold=1&subscription=8b09d0a7eb&subs_view_time=1693467928;"80A65D837BF9C57F55BAE733FF171E3F2";301
2024-02-04;2024-02-04 07:07:25;auto.drom.ru;/region25/all/?multiselect[]=9_4_10_all&subscription=4e2ad5c1b6&subs_view_time=1693344991&reset_params=1;"80A65D837BF9C57F55BAE733FF171E3F2";301
2024-02-04;2024-02-04 07:07:25;auto.drom.ru;/region25/all/?multiselect[]=9_4_10_all&subscription=4e2ad5c1b6&subs_view_time=1693344991;"80A65D837BF9C57F55BAE733FF171E3F2";301
2024-02-04;2024-02-04 09:14:05;auto.drom.ru;/all/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-04;2024-02-04 09:13:52;auto.drom.ru;/all/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-04;2024-02-04 09:17:21;auto.drom.ru;/all/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-04;2024-02-04 09:17:58;auto.drom.ru;/all/page2/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-04;2024-02-04 09:14:54;auto.drom.ru;/all/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-04;2024-02-04 09:17:41;auto.drom.ru;/all/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-04;2024-02-04 09:18:31;auto.drom.ru;/all/page2/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-04;2024-02-04 09:19:30;auto.drom.ru;/all/page3/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-04;2024-02-04 09:19:18;auto.drom.ru;/all/page2/?multiselect[]=31_2816_2_1&multiselect[]=31_2816_2_2;"265F982AE65FF43897C6DB3A2ED1AB155";200
2024-02-05;2024-02-05 11:51:40;auto.drom.ru;/region41/all/?multiselect[]=9_0_0_0&multiselect[]=2_0_0_0&multiselect[]=8_0_0_0&minyear=2016&ph=1&pts=2&damaged=2&unsold=1;FC6DDDF70A8EABD61D15F770906917357;200
2024-02-05;2024-02-05 11:52:48;auto.drom.ru;/region41/all/?multiselect[]=9_0_0_0&multiselect[]=2_0_0_0&multiselect[]=8_0_0_0&minyear=2016&ph=1&pts=2&damaged=2&unsold=1&order=year&order_d=asc;FC6DDDF70A8EABD61D15F770906917357;200
2024-02-05;2024-02-05 11:52:39;auto.drom.ru;/region41/all/?multiselect[]=9_0_0_0&multiselect[]=2_0_0_0&multiselect[]=8_0_0_0&minyear=2016&ph=1&pts=2&damaged=2&unsold=1&order=year;FC6DDDF70A8EABD61D15F770906917357;200
2024-02-05;2024-02-05 11:54:51;auto.drom.ru;/region41/all/?multiselect[]=9_0_0_0&multiselect[]=2_0_0_0&multiselect[]=8_0_0_0&minyear=2016&ph=1&pts=2&damaged=2&unsold=1&order=year&order_d=asc;FC6DDDF70A8EABD61D15F770906917357;200
2024-02-05;2024-02-05 11:55:39;auto.drom.ru;/region41/all/?multiselect[]=9_0_0_0&multiselect[]=2_0_0_0&multiselect[]=8_0_0_0&minyear=2016&ph=1&pts=2&damaged=2&unsold=1&order=year&order_d=asc;FC6DDDF70A8EABD61D15F770906917357;200
2024-02-05;2024-02-05 11:56:09;auto.drom.ru;/region41/all/page2/?multiselect[]=9_0_0_0&multiselect[]=2_0_0_0&multiselect[]=8_0_0_0&minyear=2016&ph=1&pts=2&damaged=2&unsold=1&order=year&order_d=asc;FC6DDDF70A8EABD61D15F770906917357;200
2024-02-05;2024-02-05 11:57:12;auto.drom.ru;/region41/all/page2/?multiselect[]=9_0_0_0&multiselect[]=2_0_0_0&multiselect[]=8_0_0_0&minyear=2016&ph=1&pts=2&damaged=2&unsold=1&order=year&order_d=asc;FC6DDDF70A8EABD61D15F770906917357;200
2024-02-05;2024-02-05 11:58:21;auto.drom.ru;/region41/all/page2/?multiselect[]=9_0_0_0&multiselect[]=2_0_0_0&multiselect[]=8_0_0_0&minyear=2016&ph=1&pts=2&damaged=2&unsold=1&order=year&order_d=asc;FC6DDDF70A8EABD61D15F770906917357;200
2024-02-05;2024-02-05 12:51:36;auto.drom.ru;/spec/truck/all/?multiselect[]=74_873_0_0&multiselect[]=74_788_0_0&order=price;"707FFED67E7BB2E385C2AC6F0FC882642";301
2024-02-05;2024-02-04 15:04:56;auto.drom.ru;/region22/all/?minyear=2006&multiselect[]=2_1086_0_0;"7AF91B410C260CE8A65467A728D3839D0";301
2024-02-05;2024-02-04 16:29:21;auto.drom.ru;/all/?minyear=2019&multiselect[]=2_356_0_0&subscription=bb9d79b53a&subs_view_time=1692970302;"182CED5B29774C5077E19BDB85EEC7034";301
2024-02-05;2024-02-04 16:29:21;auto.drom.ru;/all/?minyear=2019&multiselect[]=2_356_0_0&subscription=bb9d79b53a&subs_view_time=1692970302&reset_params=1;"182CED5B29774C5077E19BDB85EEC7034";301
2024-02-05;2024-02-04 15:51:04;auto.drom.ru;/all/?fueltype=1&minyear=2010&multiselect[]=89_3480_0_0&privod=3&subscription=7c83059257&subs_view_time=1692634603&reset_params=1;"979B392A32ED28E8FC818A776B8EFAB20";301
